pubkey,relay,petname
ea527e059759d368a55253270454e58e9d6e4fe2e98d302d6e01821fa973259d,"wss://relay.rip",""
c04e8da91853b7fd215102e6aa48477d8e1ba6b3c16902371a153d3784a1b0f7,"wss://relay.rip",""
101e7953a54b18d0f41ea199b9adf2d7e643441b5af8e539531e6d7275cee1df,"wss://relay.rip",""
efc3f1bd307c2b3374ee2c72d3cb1213238cb1ac4a338a719335d6f256f3d901,"wss://relay.rip",""
d484718041e84f42889219d850bb7f17805a04ca6b70e20d4a12ab3e959243e2,"wss://relay.rip",""
19b5decafadedc2a318e731c248a3fa16a6e5f7e8161ad99767c5fea502342ed,"wss://relay.rip",""
2c9d61eff72a9f5952a37af544db733f96082c2cfc06301f86567ccf76ae8a60,"wss://relay.rip",""
e69d88524a5669723b473523cd2c6bfe76d6c289656c3ecd7981fa8fef784dcc,"wss://relay.rip",""
0dd81025a7b83c6f432b7afe1591417a4074b2e64b9824990a4f5709eb566320,"wss://relay.rip",""
